,word,centrality
0,and,0.6111006585136406
1,the,0.5876074174581637
2,of,0.5598552098595191
3,to,0.551255940257977
4,in,0.5497165101125497
5,for,0.5350465365291163
6,a,0.5343423541992268
7,they,0.5310226436687648
8,but,0.5305889079473985
9,that,0.5263328471884622
10,it,0.5238287234900412
11,is,0.523786486050637
12,them,0.5227748269756961
13,not,0.5189741950946712
14,he,0.5185599105931189
15,allah,0.5179810222470297
16,will,0.5154328334523526
17,their,0.5147793010539662
18,ye,0.5138833953010047
19,then,0.5131121642969985
20,you,0.5127476517483621
21,be,0.5119798234552333
22,as,0.5117781454344914
23,with,0.5116169173820587
24,are,0.5108122984980734
25,we,0.5103708359522313
26,or,0.509570128647631
27,on,0.508612590040714
28,him,0.5075
29,have,0.504269523365937
30,from,0.5035658914728682
31,say,0.5034097954122753
32,all,0.5029420873335398
33,this,0.5023975251353442
34,so,0.5023975251353442
35,if,0.5022809866233666
36,his,0.5018541409147095
37,when,0.49930822444273637
38,what,0.49880979804960457
39,thou,0.4985035684137825
40,one,0.4984270697460293
41,by,0.4982741428242694
42,lord,0.498159509202454
43,those,0.49770150168556543
44,thee,0.4976252489658342
45,us,0.4970540974825924
46,which,0.4970540974825924
47,your,0.4959535806993434
48,said,0.4956886684471576
49,men,0.4952729490698384
50,do,0.4952351909735458
51,out,0.49504648681603414
52,were,0.4940675387891695
53,me,0.49402996425583695
54,who,0.49369205046359627
55,evil,0.4929801927601123
56,was,0.4928679817905918
57,people,0.4924943138741471
58,there,0.49245697824274126
59,such,0.4920839330353761
60,good,0.49089397717826644
61,indeed,0.4904492261230653
62,before,0.48978360853502223
63,earth,0.4895990352728369
64,faith,0.4892303057689411
65,therein,0.48845777878035945
66,things,0.48768768768768767
67,messenger,0.48743152997673894
68,see,0.4873218304576144
69,made,0.4871756412179391
70,only,0.48706605683437054
71,truly,0.4870295396611186
72,truth,0.4869200209879319
73,did,0.48662821185107497
74,fear,0.48626394191181976
75,know,0.48626394191181976
76,nor,0.48597291838108775
77,come,0.48582753720738914
78,verily,0.4852468813027564
79,man,0.4851019341348667
80,no,0.48484848484848486
81,themselves,0.4848122994253303
82,whom,0.4847399447802403
83,back,0.4846676117287175
84,penalty,0.48441461595824015
85,day,0.48427016549873264
86,our,0.4841979725700656
87,up,0.4841618841767906
88,sent,0.48398152287289525
89,knowledge,0.4837652666070897
90,wrong,0.4837292426837441
91,some,0.4836572109299382
92,other,0.4836572109299382
93,take,0.48340526864116684
94,life,0.4833692983108862
95,guidance,0.48329737370731346
96,messengers,0.48329737370731346
97,any,0.48315358869468206
98,believe,0.4826151560178306
99,fire,0.4824359450427033
100,signs,0.48240011881776323
101,i,0.4820063812421162
102,another,0.4819348616366199
103,leave,0.4819348616366199
104,punishment,0.48189910979228484
105,right,0.48186336325198426
106,give,0.4818276220145379
107,cause,0.4815061893113928
108,turn,0.4804733727810651
109,these,0.4804023073509836
110,reward,0.4801537438095942
111,her,0.48001182295130423
112,thy,0.47983453981385726
113,unbelievers,0.47969280756166
114,light,0.47958656330749355
115,set,0.4795157599468517
116,even,0.47940959409594097
117,call,0.4793388429752066
118,worship,0.4793034752453331
119,judgment,0.47891477440283103
120,hearts,0.47887946922226315
121,others,0.478844169246646
122,moses,0.4788088744748286
123,forth,0.47852670349907916
124,down,0.4784209751067904
125,mercy,0.4781040700669758
126,sin,0.4780337037309589
127,way,0.47775244539236594
128,thus,0.47761194029850745
129,about,0.4772259770790479
130,make,0.47719092044369354
131,two,0.47701571449552066
132,over,0.4769106526686734
133,message,0.4768056371109806
134,power,0.47670066779188375
135,away,0.4764908677473777
136,return,0.4764908677473777
137,has,0.4764209754308764
138,sustenance,0.47638603696098564
139,behold,0.47638603696098564
140,let,0.47582771755054204
141,more,0.47582771755054204
142,also,0.47572317832295863
143,yourselves,0.47568834212067956
144,find,0.47547943200117115
145,peace,0.4753402605005122
146,time,0.4752359353281147
147,now,0.4752359353281147
148,righteousness,0.4752011704462326
149,had,0.47516641065028165
150,created,0.4751316559391457
151,put,0.4750274223034735
152,help,0.4745762711864407
153,an,0.4745762711864407
154,show,0.4745069393718042
155,after,0.4744722810605507
156,partners,0.47436833649773624
157,book,0.4742990654205608
158,my,0.4741951967296883
159,deny,0.4738147337709701
160,hereafter,0.47360746573345
161,water,0.47357293868921774
162,ever,0.47340037895350534
163,death,0.4733313902652288
164,falsehood,0.4732969034608379
165,word,0.47322794492605813
166,path,0.473159006482628
167,place,0.47312454479242533
168,shall,0.4729523116126684
169,night,0.4729523116126684
170,means,0.47291788002329643
171,merciful,0.47284903188237004
172,nothing,0.47260822117133505
173,mankind,0.4725050916496945
174,prayer,0.4724707251436468
175,left,0.4723333090961972
176,soul,0.472264631043257
177,hold,0.4718187100522952
178,desire,0.4718187100522952
179,believers,0.4716131842602004
180,doubt,0.47157894736842104
181,women,0.47157894736842104
182,sons,0.4715104884953183
183,himself,0.47144204949560925
184,true,0.47137363036064145
185,follow,0.47133942823973296
186,deeds,0.4713052310817674
187,came,0.4710318323544341
188,land,0.4710318323544341
189,at,0.47082699137493655
190,clear,0.47062232847931607
191,servants,0.47062232847931607
192,appointed,0.4703837798696597
193,rejected,0.4703497212366954
194,therefore,0.4700434153400868
195,part,0.46977147816025455
196,love,0.46963562753036436
197,just,0.46939807789580174
198,been,0.46936416184971097
199,righteous,0.46933025070442885
200,seek,0.46929634445889323
201,reach,0.4692624431120422
202,remember,0.4691946551101481
203,behind,0.46905913784388764
204,witness,0.46888985130648186
205,never,0.46882217090069284
206,among,0.46878833802410336
