,word,centrality
0,and,0.18708920681142266
1,the,0.14487039228913268
2,of,0.09682816612066
3,to,0.07216084258667511
4,in,0.06666892608315933
5,a,0.06155806724971927
6,they,0.03374425431024796
7,for,0.03363685499738479
8,their,0.031283596417584825
9,he,0.028485387049961976
10,with,0.027314870166131395
11,but,0.025681470748981597
12,them,0.025252952523372358
13,that,0.024135131095243813
14,is,0.023287457825980355
15,it,0.021854229166517258
16,who,0.020649095383311385
17,or,0.019384454763395825
18,be,0.018255438050844643
19,not,0.018118570241145646
20,on,0.017362544695266546
21,allah,0.017229747423374846
22,from,0.015891057035889732
23,we,0.015890647794585648
24,are,0.014961042577469946
25,will,0.014910047738048599
26,by,0.01333986855592695
27,your,0.013317254404429092
28,you,0.012620710535989838
29,his,0.01258858046583085
30,ye,0.012244805538830346
31,then,0.011811888906506344
32,as,0.011392132494997953
33,have,0.01081546928330114
34,thou,0.009470440827751208
35,him,0.009463133948354388
36,nor,0.008450574386237412
37,all,0.007751884884634712
38,were,0.007614748375496084
39,when,0.006959960874578999
40,if,0.006935586177422401
41,so,0.0068366068158101975
42,those,0.006808361007452158
43,no,0.006633691085056378
44,an,0.0056314326164321965
45,one,0.005489514302994557
46,thee,0.005153638955102484
47,thy,0.004997556204187067
48,what,0.0049832461520953894
49,its,0.0047501147448744075
50,out,0.004733974987999481
51,this,0.004720187332758106
52,say,0.004502276634622934
53,which,0.004299240089756491
54,up,0.004053821380218125
55,lord,0.0038009924302380006
56,at,0.003768638221882506
57,was,0.0037373343633632923
58,like,0.003711626952065508
59,do,0.0036324586343915144
60,us,0.0034184679881235167
61,into,0.003382896801323147
62,me,0.0033586980974777284
63,among,0.0033177615045278685
64,my,0.0028995150533995162
65,over,0.0028756198604715233
66,our,0.002847640727875132
67,any,0.002756448073921129
68,has,0.002753540819767945
69,i,0.0027382364847026624
70,had,0.0026788087503386428
71,her,0.0026753953012756226
72,did,0.0026370459601006402
73,therein,0.0026285086549385967
74,two,0.002564015241592025
75,people,0.002534834042938129
76,been,0.0025097948992015675
77,after,0.0024901338648581294
78,before,0.002461261128276111
79,every,0.002428980530143616
80,shall,0.0024246684418915364
81,indeed,0.0023819021707394868
82,there,0.0022914128433070857
83,most,0.0022808150850679365
84,said,0.002236843422178601
85,between,0.0022246903494616906
86,men,0.0022209303777270943
87,down,0.002207402329242514
88,evil,0.001993878135979568
89,can,0.001968725694158735
90,each,0.0019392373495877933
91,only,0.0019090705768305463
92,against,0.0019079290457506707
93,verily,0.0018691352707220338
94,these,0.0018514714112048717
95,whom,0.001845372097147513
96,such,0.00179925168354785
97,would,0.001793012440079305
98,even,0.0017781453828515418
99,truly,0.00173064627935749
100,away,0.0016959567801317298
101,good,0.0016895084365307748
102,forth,0.0016734988908253905
103,about,0.001655163659208668
104,man,0.001580085884304828
105,never,0.0015567198424679973
106,some,0.0015193685446104306
