,word,centrality
0,and,0.36991995073891626
1,the,0.31788793103448276
2,of,0.24461206896551724
3,to,0.22552339901477833
4,in,0.2001231527093596
5,a,0.16825738916256158
6,they,0.1477832512315271
7,for,0.14685960591133004
8,but,0.1331588669950739
9,their,0.12884852216748768
10,he,0.12130541871921183
11,that,0.1206896551724138
12,is,0.11345443349753695
13,with,0.11222290640394089
14,it,0.10899014778325124
15,them,0.10745073891625616
16,we,0.10329433497536945
17,who,0.09836822660098522
18,not,0.09482758620689655
19,or,0.09236453201970443
20,will,0.0917487684729064
21,allah,0.09020935960591134
22,ye,0.08851600985221675
23,from,0.08497536945812809
24,on,0.08220443349753695
25,be,0.08020320197044335
26,are,0.0789716748768473
27,then,0.07850985221674876
28,you,0.07835591133004927
29,your,0.07789408866995073
30,as,0.07635467980295567
31,his,0.07527709359605911
32,by,0.06604064039408868
33,have,0.06557881773399014
34,so,0.06373152709359606
35,him,0.06096059113300493
36,no,0.05957512315270936
37,those,0.058497536945812806
38,nor,0.05803571428571429
39,if,0.056342364532019705
40,all,0.05511083743842365
41,say,0.05387931034482759
42,when,0.05141625615763547
43,thou,0.05080049261083744
44,our,0.04602832512315271
45,this,0.04525862068965517
46,what,0.04525862068965517
47,thy,0.043873152709359604
48,i,0.04356527093596059
49,one,0.04202586206896552
50,shall,0.04141009852216749
51,which,0.04141009852216749
52,do,0.04125615763546798
53,thee,0.041102216748768475
54,were,0.04064039408866995
55,my,0.03879310344827586
56,there,0.03786945812807882
57,was,0.03709975369458128
58,me,0.03617610837438424
59,us,0.03479064039408867
60,lord,0.03479064039408867
61,said,0.033713054187192115
62,had,0.0332512315270936
63,any,0.033097290640394086
64,an,0.033097290640394086
65,such,0.033097290640394086
66,out,0.03294334975369458
67,its,0.03201970443349754
68,indeed,0.031711822660098525
69,has,0.031557881773399014
70,before,0.031096059113300493
71,o,0.03063423645320197
72,verily,0.03063423645320197
73,at,0.029248768472906403
74,men,0.028633004926108374
75,did,0.028479064039408867
76,therein,0.02770935960591133
77,may,0.02770935960591133
78,among,0.027555418719211824
79,after,0.026939655172413795
80,can,0.026939655172413795
81,people,0.026323891625615763
82,up,0.026323891625615763
83,against,0.026016009852216748
84,some,0.025708128078817734
85,into,0.025708128078817734
86,only,0.02478448275862069
87,behold,0.02432266009852217
88,should,0.02432266009852217
89,truly,0.023860837438423644
90,things,0.02355295566502463
91,thus,0.023399014778325122
92,would,0.023245073891625615
93,evil,0.0229371921182266
94,every,0.0229371921182266
95,except,0.022629310344827586
96,been,0.02247536945812808
97,good,0.02247536945812808
98,even,0.022167487684729065
99,other,0.02185960591133005
100,her,0.02185960591133005
101,now,0.021705665024630543
102,hath,0.021551724137931036
103,believe,0.02108990147783251
104,yet,0.02108990147783251
105,over,0.020935960591133004
106,themselves,0.02062807881773399
107,like,0.020320197044334975
108,these,0.019704433497536946
109,never,0.019704433497536946
110,whom,0.019242610837438424
111,come,0.019242610837438424
112,most,0.019088669950738917
113,man,0.019088669950738917
114,give,0.018780788177339903
115,let,0.018780788177339903
116,moses,0.018780788177339903
117,two,0.018626847290640396
118,about,0.01847290640394089
119,how,0.01831896551724138
120,earth,0.01816502463054187
121,between,0.01816502463054187
122,down,0.017857142857142856
123,faith,0.01770320197044335
124,see,0.017549261083743842
125,forth,0.017549261083743842
126,without,0.017395320197044335
127,more,0.017241379310344827
128,nay,0.016933497536945813
129,allahs,0.016933497536945813
130,than,0.016933497536945813
131,unto,0.0166256157635468
132,truth,0.0166256157635468
133,doth,0.0166256157635468
134,each,0.01647167487684729
135,made,0.016317733990147784
136,sent,0.016163793103448277
137,back,0.016163793103448277
138,away,0.016163793103448277
139,make,0.01600985221674877
140,day,0.015855911330049263
141,whose,0.015548029556650246
142,take,0.01539408866995074
143,therefore,0.01539408866995074
144,know,0.015240147783251232
145,until,0.014778325123152709
146,punishment,0.014316502463054187
147,messenger,0.01416256157635468
148,also,0.013854679802955665
149,guidance,0.013700738916256158
150,ever,0.013700738916256158
151,life,0.013700738916256158
