,word,centrality
0,allah,0.1468886754739066
1,ye,0.12209564918071154
2,said,0.04127041705107136
3,one,0.040458328358859215
4,lord,0.03481587478746591
5,thou,0.0334174521522712
6,say,0.03320917295060489
7,thee,0.031305507022775056
8,shall,0.03002748152788206
9,day,0.02834966893610794
10,people,0.02616977994575596
11,earth,0.024297376238353506
12,us,0.022806388799518403
13,made,0.021982696022883445
14,men,0.020594303906298222
15,among,0.020536308998916505
16,thy,0.018722678421030564
17,like,0.016214501500334502
18,things,0.014212854529584767
19,would,0.013424197572277844
20,evil,0.01310073480555855
21,truth,0.01294847311656422
22,indeed,0.012826783456240052
23,man,0.01206144719235372
24,let,0.011768320655928506
25,verily,0.011285692244472859
26,behold,0.010832507335701343
27,sent,0.0105926218595011
28,believe,0.01037434645861158
29,may,0.010249631434622482
30,hearts,0.010162816299237066
31,therein,0.010036244830374807
32,every,0.009892576945595076
33,fire,0.00938028309587894
34,make,0.009324030361287547
35,good,0.009278421968996873
36,truly,0.008953329406623125
37,even,0.008882366820503152
38,faith,0.008329110448199284
39,two,0.008328506261044004
40,signs,0.008272727000030667
41,give,0.008180973661711442
42,unbelievers,0.008090040815997413
43,fear,0.008056902820425916
44,life,0.007876358453109493
45,except,0.007791553409195592
46,water,0.007697885748543775
47,see,0.007637618789681916
48,never,0.007593921222926887
49,messenger,0.007341735672709827
50,come,0.0069090258419710025
51,away,0.00687293577837133
52,right,0.006702391881987515
53,yet,0.006627518700642521
54,way,0.006623494422148655
55,best,0.006410919801526047
56,hath,0.0063751100546034075
57,penalty,0.0062194027162076095
58,nothing,0.006152453310101032
59,night,0.005755058675805623
60,thus,0.005624425119942559
61,eyes,0.005551166131161529
62,back,0.005472063749365239
63,forth,0.005457391171563424
64,know,0.005395024089001009
65,power,0.0053420488180413875
66,whose,0.005268941162959356
67,believers,0.005159938972850645
68,knowledge,0.0051495971801936114
69,land,0.00507899646842204
70,take,0.0050652819430370075
71,book,0.005040721169079342
72,punishment,0.0050067713277028416
73,came,0.00487985044205731
74,given,0.00482712640206279
75,created,0.004818410732839478
76,moses,0.004744441053550678
77,leave,0.004637122832336279
78,call,0.0046218746442445
79,none,0.004524487518059639
80,turn,0.0044367283130197725
81,deeds,0.00440661108833671
82,without,0.004349324372481634
83,cause,0.004304227476824783
84,gave,0.004241280436140709
85,time,0.004222038247005409
86,command,0.004184259681709103
87,mercy,0.004131878353365453
88,allahs,0.003980887070022896
89,light,0.0038526914984064785
90,wrong,0.003851648395737068
91,gardens,0.003845169593455828
92,reject,0.003783631371572216
93,sin,0.0037675539924032476
94,reward,0.0037433573568739897
95,well,0.0037232872980050417
96,nay,0.0037046527161650237
97,others,0.0036330374827010124
98,guidance,0.0036243286313196077
99,matter,0.0035667323612943638
100,follow,0.003533374791989285
101,unto,0.0035098948010335025
102,place,0.0034983913938604113
103,go,0.003459738867434355
104,doth,0.0034583517717932566
105,also,0.0034004094292803396
106,another,0.00334934548027
107,soul,0.0033240987109902317
108,angels,0.0032624503281956157
109,certainly,0.003236626602648287
110,women,0.0032103762282256927
111,send,0.003202270448568233
112,bring,0.0030683454463166747
113,neither,0.0030653099588864386
114,comes,0.0030642806499425828
115,message,0.003061063907738261
116,account,0.0030237908882915234
117,hands,0.0030063955395881327
118,order,0.002935308689895188
119,upon,0.0028845274644845303
120,souls,0.002880844775183431
121,judgment,0.0028688495048612137
122,together,0.002826480223420005
123,true,0.0028240844993133755
124,messengers,0.0027933455252648876
125,quran,0.002787872466472629
126,clear,0.002782351041582411
127,prayer,0.0027488564411594384
128,wealth,0.0027354406633804383
129,ones,0.0027341834808710325
130,garden,0.0027329432366042634
131,could,0.0027271849637398693
132,due,0.002690352769968383
133,death,0.0026487137030745175
134,sight,0.002625241939339427
135,full,0.0025674209006728925
136,behind,0.0025202615513562755
137,put,0.002517095154205081
138,witness,0.0025052198622536183
139,remember,0.002477158063790866
140,soon,0.0024497007139725473
141,many,0.0024407407788423602
142,set,0.0023884463617777547
143,find,0.0023369394989995102
144,path,0.002336616530452904
145,prophet,0.0023237694492255715
146,food,0.002294769056404863
147,word,0.002276452647484113
148,heavens,0.0022735306007112322
149,brought,0.002270627884922643
150,bear,0.002250230974882849
151,return,0.0022446559126203572
152,left,0.002243209452169103
153,thereof,0.0022312373954025476
154,affairs,0.002223863723900836
155,rejected,0.0021910836500619525
156,falsehood,0.002188454731789381
157,worship,0.0021722361772279677
158,mankind,0.002133117917330399
159,provided,0.002115322943440435
160,words,0.002101807908600476
161,near,0.0020976209714517278
162,ever,0.002097617607143171
163,hell,0.0020952685490977624
164,doubt,0.002091069399477611
165,righteous,0.002086101250051339
166,mountains,0.002076991391812387
167,great,0.0020661092650208503
168,religion,0.002063719716887411
169,though,0.002040152993051691
170,therefore,0.002039367806409948
171,part,0.0020237280337043113
172,help,0.0019941515434707805
173,amongst,0.001985752483209078
174,satan,0.0019841213793645924
175,companions,0.001977445165970713
176,cast,0.0019487288410603859
177,turned,0.001941269067188348
178,drink,0.001903975479425655
179,heart,0.00186731562397838
180,animals,0.0018604079925216997
181,thing,0.0018573650196480526
182,little,0.0018392444880487072
183,understand,0.0018386663965938024
184,therewith,0.0018372263213832138
185,hereafter,0.0018154390972323104
186,servants,0.001803059852086355
187,ask,0.0017935986069407578
188,sky,0.0017821462283555158
189,conduct,0.001780805480609114
190,become,0.001780017004315075
191,glory,0.0017736230550278312
192,abraham,0.0017479100784405612
193,better,0.001740933718196436
194,eat,0.0017339646554343923
195,heaven,0.0017280539648817728
196,deny,0.001708331178335756
